Autor,Nacionalidad,Obras_Destacadas,Fecha_Nacimiento,Genero_Literario
Gabriel García Márquez,Colombiano,Cien años de soledad,1927-03-06,Realismo mágico
Javier Castillo,Español,El día que se perdió la cordura,1987-08-23,Thriller psicológico
Sonsoles Ónega,Española,Después del amor,1977-11-30,Novela contemporánea
Juan Gómez-Jurado,Español,"Reina Roja, Loba Negra",1977-12-16,Thriller
Michael McDowell,Estadounidense,Blackwater,1950-06-01,Terror
Mikel Santiago,Español,"El mentiroso, El mal camino",1975-06-01,Suspense
Haruki Murakami,Japonés,"Tokio Blues, Kafka en la orilla",1949-01-12,Realismo mágico
Eduardo Mendoza,Español,La ciudad de los prodigios,1943-01-11,"Humor, novela histórica"
Joël Dicker,Suizo,La verdad sobre el caso Harry Quebert,1985-06-16,"Misterio, thriller"
Maggie O’Farrell,Irlandesa,Hamnet,1972-05-27,Ficción histórica
Arturo Pérez-Reverte,Español,"El club Dumas, Capitán Alatriste",1951-11-25,"Novela histórica, thriller"
Ken Follett,Británico,Los pilares de la Tierra,1949-06-05,Ficción histórica
Lin Rina,Alemana,La biblioteca de los sueños imposibles,1987-01-01,"Juvenil, fantasía histórica"
Mónica Carrillo,Española,El tiempo. Todo. Locura,1980-09-16,Novela contemporánea
Virginia Feito,Española,La señora March,1988-01-01,Thriller psicológico
Fernando Aramburu,Español,Patria,1959-01-04,Realismo social
Albert Espinosa,Español,"El mundo amarillo, Pulseras rojas",1973-10-05,"Superación, juvenil"
Alice Kellen,Española,Nosotros en la luna,1989-01-01,Romance contemporáneo
Carme Chaparro,Española,No soy un monstruo,1973-02-05,Thriller
María Oruña,Española,Puerto escondido,1976-01-01,"Misterio, policiaca"
