Titulo,Autor,Editorial,ISBN,Año_Publicacion,Numero_Paginas
En agosto nos vemos,Gabriel García Márquez,Literatura Random House,9788439731234,2024,144
La grieta del silencio,Javier Castillo,Suma,9788491295678,2024,400
Las hijas de la criada,Sonsoles Ónega,Planeta,9788408269633,2023,416
Todo vuelve,Juan Gómez-Jurado,Ediciones B,9788466674126,2023,544
Blackwater I. La riada,Michael McDowell,Blackie Books,9788418897345,2023,240
El hijo olvidado,Mikel Santiago,Ediciones B,9788466672900,2024,416
La ciudad y sus muros inciertos,Haruki Murakami,Tusquets,9788490669211,2024,448
Tres enigmas para la organización,Eduardo Mendoza,Seix Barral,9788432237344,2024,320
Un animal salvaje,Joël Dicker,Alfaguara,9788420467890,2023,480
El retrato de casada,Maggie O’Farrell,Libros del Asteroide,9788417977857,2023,368
El problema final,Arturo Pérez-Reverte,Alfaguara,9788420474799,2023,296
La armadura de la luz,Ken Follett,Plaza & Janés,9788401028978,2023,864
La biblioteca de los sueños imposibles,Lin Rina,Molino,9788419252396,2024,512
La rebelión del alma,Mónica Carrillo,Planeta,9788408277553,2023,304
La señora March,Virginia Feito,Lumen,9788426409818,2023,320
Hijos de la fábula,Fernando Aramburu,Tusquets,9788490669662,2023,336
Lo mejor de ir es volver,Albert Espinosa,Grijalbo,9788425359725,2024,208
El mapa de los anhelos,Alice Kellen,Planeta,9788408249246,2022,448
La química del odio,Carme Chaparro,Espasa,9788467056068,2023,416
El tiempo escondido,María Oruña,Destino,9788423364325,2023,480
