Título,Autor,Género,ISBN,Editorial,Precio (€),Formato
El loco de Dios en el fin del mundo,Javier Cercas,No ficción,9788439745297,Random House,22.7,Tapa blanda
Por si un día volvemos,María Dueñas,Ficción histórica,9788408299592,Planeta,22.9,Tapa dura
La muy catastrófica visita al zoo,Joël Dicker,Infantil/Familiar,9788413143411,Alfaguara,18.9,Tapa blanda
La asistenta,Freida McFadden,Thriller,9788413143428,Planeta,19.9,Tapa blanda
En el amor y en la guerra,Ildefonso Falcones,Ficción histórica,9788408299608,Grijalbo,23.9,Tapa dura
Por un beso (Bridgerton 7),Julia Quinn,Romántica,9788413143435,Titania,17.9,Tapa dura
Pecados 4. Rey de la desidia,Ana Huang,Romántica,9788413143442,Titania,17.9,Tapa dura
Powerless: Sin control,Elsie Silver,Romántica,9788413143459,Titania,17.9,Tapa blanda
Temor a la luz,Stella Tack,Fantasía,9788413143466,Planeta,21.9,Tapa dura
Muerte a la oscuridad,Stella Tack,Fantasía,9788413143473,Planeta,21.9,Tapa dura
